left_no,cyl_sys_id,legacy_name,legacy_type,new_product_code,cost_type,in_orion_scope,final_metric,final_status,cause_layer,cause_note,legacy_final,new_final,rm_rate_L,rm_rate_N,rm_landed_L,rm_landed_N,waste_L,waste_N,rm_norm_L,rm_norm_N,fixed_total_L,fixed_total_N,cap_pack_L,cap_pack_N,oil_L,oil_N,mb_cost_L,mb_cost_N,legacy_modified
5266,2023082255126,PTY 480/288/TBL/DBR/IM/DH/N/1/S,PTY,CSTPTY2606003729,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7269,0.28720300471778204,1.4693,0,1.4693,0,.008,0.008,1.008,1.008,.1616,0.15965228935777206,.0127,0.009837962962962965,.0451,0.05061,,,2026-09-06
5267,2023082355157,POY 380/108/TBL/DBR/SIM/NS/2/O,POY,CSTPOY2606002974,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5001,0.1806655458122564,1.192,0,1.217,0,.02,0.02,1.0086,1.0088,.1508,0.15088317584530367,.0078,0.015268966428760246,.0152,0.01307955,.0873,0.08665216,2026-09-05
5268,2023082355208,PTY 480/216/TBL/DBR/LIM/GTDH/N/1/S,PTY,CSTPTY2606004917,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7082,0.2366981455077231,1.5001,0,1.5001,0,.008,0.008,1.008,1.008,.1439,0.14284678521484873,.0177,0.01701388888888889,.0451,0.05061,,,2026-09-06
5269,2023082355209,TTY 480/216-120/TBL/DBR/NI/ACDH/SN/1/S,TTY,CSTTTY2606000126,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8475,0.09864780831772599,1.7082,0,1.7082,0,.004,0.004,1.004,1.004,.084,0.08363026583182294,.0197,0.013944223107569723,0,0,,,2026-09-06
527,2021102803437,POY 500/96/TBL/DBR/SIM/NS/1/O,POY,CSTPOY2606001928,SELLING,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.4767,0.15419065274979218,1.192,0,1.217,0,.022,0.022,1.0037,1.0041,.1257,0.1257359798710864,.0078,0.015340437539421705,.0138,0.0118905,.0968,0.09687659,2026-09-05
5270,2023082356320,POY 250/48/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606000842,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.592,0.2747876853634556,1.172,0,1.1908,0,.012,0.012,.9872,0.9875,.2475,0.247496118481427,.0078,0.015598312236286922,.0109,0.009512399999999999,.1369,0.13797420000000002,2026-09-05
5271,2023082356321,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000520,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9308,0.34458431164328085,1.592,0,1.592,0,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-06
5272,2023082356322,POY 250/144/RND/DSD/SIM/NS/1/O,POY,CSTPOY2606002575,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.5814,0.2765285013452448,1.172,0,1.1908,0,.018,0.035,1.0027,1.02,.2475,0.247496118481427,.0078,0.01494721221822062,.0138,0.0118905,.1014,0.101409,2026-09-05
5273,2023082356995,POY 120/48/RND/SD/SIM/NS/1/O,POY,CSTPOY2606000028,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7442,0.5381571297652682,1.172,0,1.1908,0,.007,0.007,1.007,1.007,.5091,0.5090773819170815,.0078,0.015296259516716322,.0109,0.009512399999999999,0,0,2026-09-05
5274,2023082356996,POY 120/72/RND/SD/SIM/NS/1/O,POY,CSTPOY2606000031,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.7442,0.5381571297652682,1.172,0,1.1908,0,.007,0.007,1.007,1.007,.5091,0.5090773819170815,.0078,0.015296259516716322,.0109,0.009512399999999999,0,0,2026-09-05
