fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606003259,PTY,PTY 300/144/TBL/BR/NI/DH/N/1/Z,31543,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606003322,PTY,PTY 300/144/TBL/BR/LIM/DH/N/2/SS,31606,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606006163,PTY,PTY 300/144/TBL/BR/SIM/DH/N/2/ZZ,34228,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606005865,PTY,PTY 300/144/TBL/BR/NIM/SH/N/3/ZZZ,33930,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004785,PTY,PTY 300/144/TBL/BR/SIM/LSDH/N/3/SSS,33129,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004778,PTY,PTY 300/144/TBL/BR/NI/DH/N/1/S,33122,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606004777,PTY,PTY 300/144/TBL/BR/IM/LSDH/N/3/SSS,33121,CSTPOY2606002076,POY,2163,1,1,1.322301,CALCULATED,0.322301
CSTPTY2606002835,PTY,PTY 900/576/RND/SD/LIM/DH/N/1/S,28392,CSTPTY2606004319,PTY,32663,1,1,1.321879,CALCULATED,0.321879
CSTPTY2606005434,PTY,PTY 1200/768/RND/SD/SIM/DH/N/1/Z,28630,CSTPTY2606004319,PTY,32663,1,1,1.321879,CALCULATED,0.321879
CSTATY2606000195,ATY,ATY 3000/1920/RND/SD/NIM/DH/N/1/Z,23392,CSTPTY2606005100,PTY,33596,1,1,1.321879,CALCULATED,0.321879
CSTPTY2606005201,PTY,PTY 300/192/RND/SD/NIM/SH/N/1/ZCOPS,28397,CSTPTY2606004319,PTY,32663,1,1,1.321879,CALCULATED,0.321879
CSTTTS2606000208,TTS,TTS 900/288-150/TBL/SPBR/NIM/SPSH/T3/1/S,36253,CSTTTY2606000592,TTY,35163,1,1,1.321849,CALCULATED,0.321849
CSTTCY2606000401,TCY,TCY 1800/864-150/TBL/BR/NIM/DH/N/1/Z,35018,CSTPTY2606005865,PTY,33930,1,1,1.321721,CALCULATED,0.321721
CSTATY2606000178,ATY,ATY 1400/288/TBL/BR/NIM/DH/N/1/Z,23375,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606006026,PTY,PTY 300/96/RND/BR/NI/SH/N/1/S,34091,CSTPOY2606002764,POY,2851,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606003660,PTY,PTY 300/96/TBL/BR/HIM/DH/N/4/2Z2S,32004,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606003558,PTY,PTY 300/96/TBL/BR/NI/DH/N/1/S,31902,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
