mbs_oracle_sys_id,spin_name,mbs_ldr_calculated_pct,mbs_run_ldr_pct,adjustment_yang_diusulkan
202201709,USAGI BL,1.5000,1.3500,-0.1500
202201710,ENDLESS PK,1.5000,1.9900,0.4900
202201711,LETTUCE GN,1.5000,1.6200,0.1200
202201713,DORAS BL,3.5000,3.6500,0.1500
202201714,TEMPEST BN,1.6000,1.7300,0.1300
202201715,FUGU GY,1.3600,1.4300,0.0700
202201716,RODA GY,1.6000,1.6200,0.0200
202201718,SEIZA BG BR,2.5000,2.8000,0.3000
202201723,ENAMEL CM BR,1.0800,1.6200,0.5400
202201726,SILICA CREAM,1.5000,1.4500,-0.0500
202202730,GENTLE BL,1.5000,1.8400,0.3400
202202731,ILLUSION GY,1.5000,1.5500,0.0500
202202732,MELLOW YW,1.1300,1.2500,0.1200
202202733,HERON WF BL,6.0000,6.3000,0.3000
202202735,SINAR GREEN,3.6700,3.5900,-0.0800
202202740,MIX OSD,1.1600,1.2000,0.0400
202202741,CERLITA BG,2.0000,1.6800,-0.3200
202202742,GREY BR,1.7800,1.1000,-0.6800
202202743,CASA BLUE,3.4500,3.7600,0.3100
202203755,IMUNA BN,2.0000,2.0500,0.0500
202203758,ADDICT PL,1.6000,1.8000,0.2000
202203760,LAKU GY,1.5000,1.5800,0.0800
202203762,CREATIVE PL,1.5000,1.6100,0.1100
202203763,ORINOCO GY,1.5000,1.6900,0.1900
202203765,VIOLET,1.7200,1.3500,-0.3700
202204774,SINABUNG GY,1.5000,1.2000,-0.3000
202204776,EQUATOR BL,1.6000,1.3000,-0.3000
202204779,AGAIN BL,2.5000,2.3200,-0.1800
202204788,MOLA BL,1.5000,1.3500,-0.1500
202204796,LITO GY,1.5000,1.4700,-0.0300
202204797,SPANISH CREAM BR,1.0200,1.5500,0.5300
202204798,MAVERICK GY,1.5000,1.5800,0.0800
202204799,PISCES MN,2.0000,2.1200,0.1200
202204800,SLICK BL,3.7500,3.9000,0.1500
202204801,JISO MN,3.3000,3.3200,0.0200
