group_head_period_id,period,group_head_id,flag_valuation,flag_marketing,flag_simulation,init_val_valuation,init_val_marketing,init_val_simulation,updated_at,updated_by
510e95a7-72e0-4057-99a4-10805d6b5c2d,202608,40baa051-cc4f-4d6f-bafa-19e73b702e1f,CONS,CONS,CONS,,,,,
c695c786-16ca-41f5-ba85-bfaacd79649b,202608,41168893-50f0-4160-bca6-ff9f0fab02c7,CONS,CONS,CONS,,,,,
4b808f5d-5b81-4dbb-8a77-203a96b4bb1f,202608,4237ba16-7231-44fb-9044-47dce0359f40,CONS,CONS,CONS,,,,,
8a542b55-fbc7-40ea-b73d-a6ef526995a5,202608,42724fdb-ffa2-49f6-aa6b-02ec310ca050,CONS,CONS,CONS,,,,,
513c898c-b59a-4043-8830-6f7c184d2895,202608,4283ee7f-52f8-4624-90c7-df9a99d06056,CONS,CONS,CONS,,,,,
c2aa359c-6d69-49e7-ae1f-528237b2f9ac,202608,42cb7ffd-0d3f-4476-9897-4be6059c3ad7,CONS,CONS,CONS,,,,,
8199570b-1047-46e5-a983-c6050be9bf62,202608,42db1263-e078-4186-aed5-be4261def2f9,CONS,CONS,CONS,,,,,
22493a51-ce1d-4b55-8273-94a4a64ac0d6,202608,430e1bbc-edc5-43bd-9c0e-1fd24767182b,CONS,CONS,CONS,,,,,
b07626a7-5eae-4c10-bbf1-a67ff5611a32,202608,433f45d3-5cc9-4ebb-a902-df1c34c3db74,CONS,CONS,CONS,,,,,
0de4d7af-bae6-4dec-a918-85689c7c9f7d,202608,43b6797f-b2c4-4381-98dc-fda256324ffa,CONS,CONS,CONS,,,,,
41e60964-fd81-45ee-b8f3-afbcbef631d4,202608,45a96184-7242-4671-aebb-08cfe394f913,CONS,CONS,CONS,,,,,
a421d2b3-4252-4126-b2f1-656ed56889aa,202608,45e588b4-5caa-4eb5-b008-478616625990,CONS,CONS,CONS,,,,,
f90bd191-61c9-41ae-99bd-3ca8d0f4223d,202608,46eb77e5-32cb-440a-96f0-e89e89ea3d1c,CONS,CONS,CONS,,,,,
b0efa8fc-2303-4f27-8a97-3c5d6de7b148,202608,474078e6-5b5a-4806-b274-65caba9179ae,CONS,CONS,CONS,,,,,
3d5f1e3c-3dc5-4a7d-9e1c-8ddff65bb1e2,202608,47926ea1-fb22-4321-8a25-7467b887aef4,CONS,CONS,CONS,,,,,
8b9a091c-b801-426c-bbd8-2d7b36b3109f,202608,4cccb44d-0050-4b61-b837-c7e10caee8b9,CONS,CONS,CONS,,,,,
2d4158de-b6c6-4c34-8931-f8b2e6d4e471,202608,4d114a01-ee8b-4233-a366-08c600e032a1,CONS,CONS,CONS,,,,,
4827617f-1f51-4661-8e9a-21f32ed305c6,202608,4dd813d2-09f1-43c0-a3cb-1837d21dac8f,CONS,CONS,CONS,,,,,
79332fd9-d5f0-4984-bcec-0d5c3466764c,202608,4e56f971-3ef6-4416-b57b-593ac6aa6af9,CONS,CONS,CONS,,,,,
a0197aa7-8222-4e53-9b8f-d135bdea6644,202608,4f26af7b-d738-415a-8d6f-8d89961fa6fd,CONS,CONS,CONS,,,,,
abd40319-2f6f-4ffe-9a7b-5a7a8f4fa584,202608,5073a247-f138-41a6-a3b0-e7c2f3ccb41e,CONS,CONS,CONS,,,,,
25cf60e9-0be5-459e-8f19-04df4b4460ad,202608,50813be4-742b-4fcc-8a2d-6ef67cd8fc8b,CONS,CONS,CONS,,,,,
7d3f87a3-af29-4234-be5b-052f48882042,202608,51500cd4-ac88-4a27-901d-56f35440aaac,CONS,CONS,CONS,,,,,
f3f5b9ef-c248-4a4a-9497-a82ae9bbe698,202608,52f62b00-d830-4245-af63-bfc953df104c,CONS,CONS,CONS,,,,,
3f815062-9fd8-4f07-abc3-b2f1cefddda9,202608,53170555-8f66-4bc6-aa53-b2960d437a78,CONS,CONS,CONS,,,,,
81f40923-8142-445e-975b-1878bfcf253b,202608,545623f1-a10d-4ecd-9109-b784824823e2,CONS,CONS,CONS,,,,,
d4a10389-fabd-4552-9785-df6eb650028d,202608,5521a0c6-d947-4641-84c7-d0affd7fec47,CONS,CONS,CONS,,,,,
49a10de0-ec5d-4a09-9400-a87fce826e36,202608,562520da-21fd-419f-bc43-c402605fc782,CONS,CONS,CONS,,,,,
74deb10f-b646-4990-865f-074863bd19e7,202608,56342141-8319-4b06-a9b6-238672951de7,CONS,CONS,CONS,,,,,
d7503254-714e-4d90-955a-dcb212c18feb,202608,577e44b8-d0d1-498d-8b64-4bc0ecc8ca0d,CONS,CONS,CONS,,,,,
49af2f9e-44f9-4e3a-826b-26abd2269657,202608,579d38a5-8883-4169-81c7-a25d47fdba27,CONS,CONS,CONS,,,,,
2e0cbbfc-11f4-4f8c-97cc-a660b1871f17,202608,58a57348-6afb-43f7-8c6e-cc18af2ef76a,CONS,CONS,CONS,,,,,
b4e93c73-367f-4aae-aa34-b2e5e67ec18d,202608,5939b6d7-e8ff-4f33-bb23-f688c13c6cc9,CONS,CONS,CONS,,,,,
83513f94-144c-47c3-966f-0168b62b19b3,202608,59a6fc6b-d9b4-4f77-9962-1b2d266a4b8b,CONS,CONS,CONS,,,,,
e91d3e8e-acbe-4561-82a3-f955859f208d,202608,5b9be6e7-7ed8-445e-8e5d-31c10466e139,CONS,CONS,CONS,,,,,
33709f06-e9f4-4e5e-8ded-30ea6e9e3e6c,202608,5c80b66a-9d12-4d1f-9ae8-695c45cbfbd3,CONS,CONS,CONS,,,,,
af74d102-80e0-426b-9bb5-3e29c5087351,202608,5c9c707c-3911-407d-9c4c-ab5731db75ed,CONS,CONS,CONS,,,,,
69600210-5893-4ef8-ba4b-8ce57b3d0dde,202608,5cbd574f-7a2a-4d84-98e1-1a87d85e4126,CONS,CONS,CONS,,,,,
a8df71d8-5a72-40be-bb7a-fff4db3c5987,202608,5cbd95d0-fa2b-4805-88c6-0c523ea528e9,CONS,CONS,CONS,,,,,
3d8519fb-db59-4520-90b6-ab4484145332,202608,5e078342-313e-48f4-8e87-73bba955ba25,CONS,CONS,CONS,,,,,
31902eb6-a707-4484-ad06-39006a79a212,202608,5e25dba9-fc58-4b32-9e33-8b8d90aa1e2d,CONS,CONS,CONS,,,,,
5e88797f-1590-44b3-904b-264270c934a5,202608,5e371a04-e4fb-44e9-a44a-75b28f0ac24d,CONS,CONS,CONS,,,,,
f6067a0f-d031-48a6-b07f-32b203571e41,202608,5e617c56-f73a-4eb1-bf0a-6b37b478006b,CONS,CONS,CONS,,,,,
52d67e9e-7034-4b9a-9417-0ba19aa04afe,202608,5e95e3cf-36c0-45db-afe3-c8d78dfb67eb,CONS,CONS,CONS,,,,,
543ae57e-3388-4e26-863a-de93411475ac,202608,5f2db149-8485-4aeb-b5c6-31e78c77e5d5,CONS,CONS,CONS,,,,,
e2c49f7a-fb0c-4d2a-85b3-4b688a8f57d0,202608,5f305b29-bf4b-4358-93b4-9c4a4193746a,CONS,CONS,CONS,,,,,
bcdc7e00-c356-4ad9-8837-9a2cfa00b23a,202608,5f5ecdf3-a5bf-4f9a-8863-4cc4d1ab737a,CONS,CONS,CONS,,,,,
